created,text
2020-03-16 08:49:19,"英 매체 ＂EPL 중단, 손흥민-케인 돌아올 토트넘에 기회 될 것＂ (출처 : 엑스포츠뉴스 | 네이버 스포츠) https://t.co/2s6IHh5t0y"
2020-03-16 08:48:20,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 08:32:05,"RT @sooilli: 이번에 한 화이트데이 이벤트 손흥민 1197표 46% 대박이야.. 리스트에 없는 선수 1등은 백승호 
그리고 이벤트 경품에 손흥민 선수 소감 영상 뭐야 ㅠㅠㅠ 언제 찍은거야.. https://t.co/e91iQQ4ELX"
2020-03-16 08:24:29,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 08:08:24,RT @sonswembley: 손흥민 레전드 프리킥 https://t.co/TqY3LQ7vFW
2020-03-16 08:06:51,"RT @shm_sonny: 레버쿠젠 #손흥민
https://t.co/t60JfRkyDo https://t.co/bHrSnI78We"
2020-03-16 08:03:43,"RT @min_n_7: 💙❤존나 귀여운 손흥민 모음❤💙
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
다시 열일하겠습니다
경기보다 빡쳐서 그만 실수로 지워버렸어용😊 https://t.co/gkTF9mbOJE"
2020-03-16 07:53:51,"RT @shineuna4411: 👉🏻혹시 흥민 선수님 담요 있으신 분👈🏻

몇 번 착용하셨거나, 실밥 등 어느정도 하자가 있어도 괜찮으니 편하게 DM 주세요😊

🌟담요를 구하게 되면, 이 트윗을 RT 하신 분들 중 추첨을 통해 '고래밥' 기프티콘을…"
2020-03-16 07:34:18,"토트넘 핫이슈, 손흥민 이르면 오늘 돌아온다 [달수네 라이브] https://t.co/UXPOObsbYp"
2020-03-16 07:18:48,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 07:14:06,"RT @PSJ_88: 손세이셔널 X 박서준 
오이 오물오물 씹으면서 손흥민한테 못먹는거 있냐고 묻는거 왜 이렇게 귀엽냐 우리 서준이는 고수 못먹는구나 “아그래” 하는데 약간 똥마니얼굴 나왔다 교밍🥰🖤 https://t.co/MJoSAhhvEF"
2020-03-16 07:10:18,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 07:07:53,"토트넘 핫이슈, 손흥민 이르면 오늘 돌아온다 [달수네 라이브] https://t.co/5NfNG80HJ3"
2020-03-16 06:59:39,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 06:58:04,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 06:44:18,"RT @min_n_7: 💙❤존나 귀여운 손흥민 모음❤💙
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
ㆍ
다시 열일하겠습니다
경기보다 빡쳐서 그만 실수로 지워버렸어용😊 https://t.co/gkTF9mbOJE"
2020-03-16 06:32:08,"👉🏻혹시 흥민 선수님 담요 있으신 분👈🏻

몇 번 착용하셨거나, 실밥 등 어느정도 하자가 있어도 괜찮으니 편하게 DM 주세요😊

🌟담요를 구하게 되면, 이 트윗을 RT 하신 분들 중 추첨을 통해 '고래밥'… https://t.co/eWGgAqcT5X"
2020-03-16 06:17:09,"‘자가 격리 끝’ 손흥민, 16일 훈련 복귀한다...완전 복귀는 '이 때' 부터! https://t.co/1FikHEsHgX"
2020-03-16 05:57:56,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 05:56:59,"RT @mp6aEw15q23Ijjt: bts가 국위선양과 전혀 관련없는 이유

ㅡ노래의 최고 80%이상이 영어가사
ㅡ일본어로 된 일본유일곡 6곡과 번안곡 수두룩
ㅡ년총 4,50회 공연중 한국공연 단2~4회
ㅡ맵솔경우 앨범 400만중미국판매량 45만,…"
